	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
GENE_0001	540.0	380.0	530.0	220.0	440.0	530.0
GENE_0002	410.0	500.0	210.0	390.0	270.0	133.0680334530464
GENE_0003	270.0	840.0	500.0	520.0	330.0	550.0
GENE_0004	520.0	460.0	200.0	420.0	868.4240729142998	240.0
GENE_0005	230.0	380.0	450.0	300.0	320.0	320.0
GENE_0006	420.0	740.0	440.0	460.0	470.0	750.0
GENE_0007	260.0	410.0	550.0	200.0	460.0	470.0
GENE_0008	400.0	250.0	270.0	600.0	189.3063404421821	1627.4286920028317
GENE_0009	310.0	420.0	340.0	2087.285000301849	1060.1084783451179	240.2945211194941
GENE_0010	820.0	1020.0	630.0	1290.0	300.0	212.4417207442832
GENE_0011	560.0	330.0	380.0	160.0	680.0	270.0
GENE_0012	80.0	290.0	530.0	210.0	70.0	480.0
GENE_0013	350.0	350.0	650.0	620.0	420.0	440.0
GENE_0014	320.0	840.0	330.0	350.0	450.0	310.0
GENE_0015	420.0	500.0	350.0	169.76453528417406	2332.4838520599465	300.0
GENE_0016	390.0	550.0	540.0	450.0	1090.0	260.0
GENE_0017	300.0	260.0	200.0	390.0	850.0	260.0
GENE_0018	330.0	230.0	500.0	1030.0	360.0	990.0
GENE_0019	590.0	100.0	860.0	470.0	160.0	200.0
GENE_0020	810.0	250.0	310.0	480.0	1478.4867158495833	160.0
GENE_0021	400.0	150.0	240.0	320.0	300.0	1150.0
GENE_0022	750.0	660.0	640.0	1250.0	340.0	630.0
GENE_0023	430.0	600.0	370.0	460.0	330.0	460.0
GENE_0024	450.0	460.0	250.0	540.0	760.0	330.0
GENE_0025	630.0	910.0	360.0	300.0	320.0	220.0
GENE_0026	450.0	160.0	850.0	640.0	450.0	760.0
GENE_0027	420.0	420.0	490.0	160.0	170.0	150.0
GENE_0028	180.0	560.0	310.0	1791.4807627600003	530.0	360.0
GENE_0029	320.0	150.0	250.0	820.0	150.0	390.0
GENE_0030	420.0	230.0	140.0	500.0	230.0	440.0
GENE_0031	150.0	420.0	660.0	850.0	550.0	470.0
GENE_0032	520.0	370.0	110.0	360.0	440.0	450.0
GENE_0033	360.0	220.0	590.0	390.0	660.0	330.0
GENE_0034	190.0	460.0	450.0	570.0	390.0	840.0
GENE_0035	760.0	880.0	660.0	270.0	660.0	286.5168456160895
GENE_0036	180.0	430.0	680.0	620.0	340.0	620.0
GENE_0037	380.0	430.0	130.0	470.0	200.0	180.0
GENE_0038	360.0	240.0	680.0	520.0	360.0	130.0
GENE_0039	360.0	190.0	270.0	920.0	641.1364966584462	740.0
GENE_0040	420.0	480.0	220.0	370.0	170.0	350.0
GENE_0041	200.0	270.0	320.0	670.0	280.0	350.0
GENE_0042	550.0	390.0	520.0	580.0	1388.8887212404068	460.0
GENE_0043	380.0	710.0	490.0	689.09447148841	1060.0	210.0
GENE_0044	360.0	640.0	340.0	600.0	410.0	120.0
GENE_0045	810.0	210.0	280.0	660.0	610.0	250.0
GENE_0046	480.0	550.0	490.0	840.0	160.0	650.0
GENE_0047	650.0	780.0	200.0	200.0	1020.0	560.0
GENE_0048	450.0	470.0	190.0	1170.0	1006.1810169327125	300.0
GENE_0049	430.0	170.0	440.0	730.0	838.503577976195	240.0
GENE_0050	500.0	390.0	600.0	1668.6310664405592	460.0	280.0
GENE_0051	520.0	660.0	400.0	440.0	750.0	380.0
GENE_0052	240.0	340.0	290.0	330.0	390.0	400.0
GENE_0053	350.0	660.0	570.0	450.0	240.0	740.0
GENE_0054	620.0	310.0	30.0	430.0	790.0	240.0
GENE_0055	480.0	240.0	1040.0	160.0	650.0	830.0
GENE_0056	210.0	290.0	320.0	330.0	160.0	380.0
GENE_0057	650.0	340.0	440.0	2027.873557904783	450.0	480.0
GENE_0058	600.0	420.0	430.0	400.0	610.0	190.0
GENE_0059	590.0	890.0	440.0	180.0	610.0	780.0
GENE_0060	580.0	420.0	450.0	260.0	930.0	420.0
GENE_0061	1080.0	430.0	400.0	430.0	530.0	620.0
GENE_0062	190.0	700.0	410.0	320.0	570.0	520.0
GENE_0063	370.0	240.0	530.0	290.0	1576.47158974756	480.0
GENE_0064	140.0	330.0	420.0	440.0	897.3298840026526	1150.1939309956524
GENE_0065	940.0	300.0	350.0	1974.6396320827241	180.0	916.3407651424097
GENE_0066	540.0	310.0	410.0	905.024524792288	600.0	351.21378573300734
GENE_0067	450.0	410.0	510.0	240.0	1410.045931486216	220.0
GENE_0068	620.0	410.0	540.0	970.0	440.0	250.0
GENE_0069	250.0	780.0	580.0	179.72594727135188	360.0	450.0
GENE_0070	610.0	350.0	470.0	390.0	420.0	340.0
GENE_0071	600.0	420.0	590.0	583.863927902452	310.0	350.0
GENE_0072	360.0	590.0	690.0	890.0	490.0	340.0
GENE_0073	260.0	450.0	300.0	310.0	340.0	1210.0
GENE_0074	390.0	770.0	640.0	680.0	530.0	670.0
GENE_0075	360.0	430.0	540.0	90.0	501.12851198196864	680.0
GENE_0076	480.0	420.0	580.0	187.8580486104005	390.0	360.0
GENE_0077	470.0	470.0	330.0	770.0	520.0	972.5696715182888
GENE_0078	310.0	300.0	460.0	110.0	500.0	74.3777635332798
GENE_0079	490.0	610.0	260.0	540.0	790.0	230.0
GENE_0080	430.0	550.0	600.0	690.0	1287.9100114372013	520.0
GENE_0081	440.0	340.0	730.0	1070.0	220.0	280.0
GENE_0082	370.0	350.0	710.0	290.28123230305516	410.0	610.0
GENE_0083	590.0	330.0	230.0	642.8698294776025	400.0	350.0
GENE_0084	260.0	450.0	390.0	600.0	150.0	180.0
GENE_0085	560.0	310.0	420.0	390.0	180.0	170.0
GENE_0086	510.0	160.0	260.0	360.0	620.0	380.0
GENE_0087	430.0	320.0	150.0	400.0	670.0	150.0
GENE_0088	670.0	260.0	220.0	650.0	992.8626480987691	84.13367789453339
GENE_0089	450.0	440.0	230.0	340.0	540.0	380.0
GENE_0090	500.0	580.0	310.0	410.0	240.0	290.0
GENE_0091	250.0	320.0	290.0	550.0	340.0	570.0
GENE_0092	1060.0	380.0	150.0	640.0	957.928151354264	150.0
GENE_0093	430.0	510.0	810.0	76.04880660845284	680.0	340.0
GENE_0094	240.0	420.0	60.0	310.0	710.0	1500.375946730134
GENE_0095	400.0	450.0	390.0	300.0	270.0	220.0
GENE_0096	220.0	580.0	350.0	270.0	430.0	140.0
GENE_0097	310.0	290.0	630.0	460.0	130.0	180.0
GENE_0098	440.0	490.0	190.0	900.0	295.24223062148707	450.0
GENE_0099	590.0	340.0	420.0	380.0	670.0	340.0
GENE_0100	590.0	330.0	340.0	440.0	560.0	164.16428986457686
GENE_0101	460.0	480.0	450.0	500.0	80.0	510.0
GENE_0102	180.0	220.0	770.0	660.0	420.0	143.22273663846136
GENE_0103	460.0	280.0	470.0	200.0	400.861610204863	540.0
GENE_0104	540.0	180.0	160.0	165.01326603935266	360.0	680.0
GENE_0105	900.0	330.0	300.0	420.0	470.0	1002.7432693600645
GENE_0106	290.0	800.0	430.0	360.0	519.5336459467535	1105.1284683596155
GENE_0107	560.0	970.0	220.0	470.0	430.0	570.0
GENE_0108	1050.0	200.0	260.0	167.46772028374562	190.0	610.0
GENE_0109	270.0	500.0	160.0	50.0	500.0	670.0
GENE_0110	850.0	470.0	190.0	440.0	200.0	290.0
GENE_0111	160.0	610.0	950.0	500.0	630.0	670.0
GENE_0112	840.0	280.0	640.0	720.0	500.0	300.0
GENE_0113	260.0	250.0	320.0	580.0	800.0	85.18199860002424
GENE_0114	410.0	190.0	790.0	850.0	190.0	270.0
GENE_0115	550.0	330.0	720.0	2077.2947334789633	330.0	333.7733113638833
GENE_0116	300.0	400.0	470.0	420.0	730.0	270.0
GENE_0117	390.0	280.0	370.0	540.0	200.0	240.0
